region,year,acc_cl_nm,acc_cnt,acc_cnt_cmrt,dth_dnv_cnt,dth_dnv_cnt_cmrt,ftlt_rate,injpsn_cnt,injpsn_cnt_cmrt,tot_acc_cnt,tot_dth_dnv_cnt,tot_injpsn_cnt
강릉시,2010,전체사고,1164,0.52,29,0.53,2.49,1900,0.55,226878,5505,352458
강릉시,2010,어린이사고,81,0.57,0,0.0,0.0,102,0.59,14095,126,17178
강릉시,2010,고령자사고,148,0.57,7,0.4,4.73,165,0.6,25810,1752,27394
강릉시,2010,보행자사고,259,0.51,14,0.67,5.41,259,0.51,50431,2082,50899
강릉시,2010,자전거사고,10,0.38,0,0.0,0.0,11,0.4,2663,73,2731
강릉시,2010,야간사고,558,0.5,15,0.5,2.69,926,0.53,111159,2996,173695
강릉시,2010,어린이보행사고,32,0.48,0,0.0,0.0,32,0.48,6601,79,6699
강릉시,2010,스쿨존내어린이사고,6,0.82,0,0.0,0.0,6,0.79,733,9,760
강릉시,2010,고령운전자사고,88,0.7,2,0.37,2.27,136,0.73,12623,547,18660
강릉시,2010,고령보행자사고,58,0.66,5,0.52,8.62,54,0.68,8798,966,7924
강릉시,2010,뺑소니사고,46,0.39,2,0.74,4.35,69,0.37,11729,271,18840
강릉시,2010,무면허사고,60,0.68,1,0.26,1.67,103,0.78,8875,387,13272
고성군,2010,전체사고,178,0.08,9,0.17,5.06,380,0.11,226878,5505,352458
고성군,2010,어린이사고,16,0.11,0,0.0,0.0,25,0.15,14095,126,17178
고성군,2010,고령자사고,37,0.14,3,0.17,8.11,50,0.18,25810,1752,27394
고성군,2010,보행자사고,23,0.05,3,0.14,13.04,20,0.04,50431,2082,50899
고성군,2010,야간사고,67,0.06,2,0.07,2.99,130,0.07,111159,2996,173695
고성군,2010,어린이보행사고,4,0.06,0,0.0,0.0,4,0.06,6601,79,6699
고성군,2010,스쿨존내어린이사고,1,0.14,0,0.0,0.0,3,0.39,733,9,760
고성군,2010,고령운전자사고,10,0.08,1,0.18,10.0,19,0.1,12623,547,18660
고성군,2010,고령보행자사고,4,0.05,1,0.1,25.0,3,0.04,8798,966,7924
고성군,2010,뺑소니사고,8,0.07,0,0.0,0.0,14,0.07,11729,271,18840
고성군,2010,무면허사고,6,0.07,0,0.0,0.0,10,0.08,8875,387,13272
동해시,2010,전체사고,433,0.19,8,0.15,1.85,742,0.21,226878,5505,352458
동해시,2010,어린이사고,43,0.31,1,0.79,2.33,53,0.31,14095,126,17178
동해시,2010,고령자사고,67,0.26,0,0.0,0.0,81,0.3,25810,1752,27394
동해시,2010,보행자사고,78,0.15,2,0.1,2.56,81,0.16,50431,2082,50899
동해시,2010,자전거사고,1,0.04,0,0.0,0.0,1,0.04,2663,73,2731
동해시,2010,야간사고,187,0.17,3,0.1,1.6,319,0.18,111159,2996,173695
동해시,2010,어린이보행사고,15,0.23,0,0.0,0.0,15,0.22,6601,79,6699
동해시,2010,스쿨존내어린이사고,1,0.14,0,0.0,0.0,2,0.26,733,9,760
동해시,2010,고령운전자사고,36,0.29,0,0.0,0.0,70,0.38,12623,547,18660
동해시,2010,고령보행자사고,16,0.18,0,0.0,0.0,17,0.21,8798,966,7924
동해시,2010,뺑소니사고,13,0.11,0,0.0,0.0,19,0.1,11729,271,18840
동해시,2010,무면허사고,14,0.16,0,0.0,0.0,24,0.18,8875,387,13272
삼척시,2010,전체사고,329,0.15,14,0.26,4.26,542,0.16,226878,5505,352458
삼척시,2010,어린이사고,28,0.2,0,0.0,0.0,31,0.18,14095,126,17178
삼척시,2010,고령자사고,54,0.21,8,0.46,14.81,55,0.2,25810,1752,27394
삼척시,2010,보행자사고,73,0.14,3,0.14,4.11,73,0.14,50431,2082,50899
삼척시,2010,자전거사고,6,0.23,0,0.0,0.0,6,0.22,2663,73,2731
삼척시,2010,야간사고,122,0.11,3,0.1,2.46,190,0.11,111159,2996,173695
삼척시,2010,어린이보행사고,12,0.18,0,0.0,0.0,13,0.19,6601,79,6699
